filename,c_min,c_max,r_min,r_max
02b194f176ea5416,554,685,106,319
02bec5a174e03c85,172,329,126,341
02bec5a174e03c85,437,560,77,247
02bec5a174e03c85,652,780,209,393
02ce731cd2da2b47,168,227,156,222
02ce731cd2da2b47,281,310,153,195
02ce731cd2da2b47,368,402,218,282
02ce731cd2da2b47,370,423,123,198
02ce731cd2da2b47,504,539,225,268
02ce731cd2da2b47,661,702,307,358
02d1edff29c8114c,103,150,409,554
02d1edff29c8114c,471,554,188,303
02d2834c5686ea96,131,154,559,631
02d2834c5686ea96,332,349,509,577
02d2834c5686ea96,451,513,229,304
02d74d7e6e3bf01b,844,958,326,458
02d9ec5d9bf105d3,295,397,246,402
030580b388f8d4fe,249,361,93,223
030580b388f8d4fe,828,934,308,382
0336f9e8980b56cb,321,527,121,417
0339f3a5292cdf56,483,540,266,337
0339f3a5292cdf56,492,540,394,457
0339f3a5292cdf56,608,712,153,279
0339f3a5292cdf56,737,776,217,280
0339f3a5292cdf56,782,847,233,302
0339f3a5292cdf56,979,1020,222,309
034e40f59a6236fb,91,169,239,316
034e40f59a6236fb,180,217,221,285
034e40f59a6236fb,540,567,244,329
034e40f59a6236fb,584,637,338,433
034e40f59a6236fb,988,1022,279,357
0361982104d8758a,278,355,210,294
0369ba5f1ca089fd,524,677,53,344
0376e7c0565b8a67,865,921,262,326
037d3080c8e2a715,23,189,131,378
037d3080c8e2a715,639,836,80,369
03b447e0f674324d,320,449,123,276
03b447e0f674324d,584,712,111,294
03b447e0f674324d,629,688,0,34
03b9b2c1f32493ea,397,754,123,487
03d7f24a35ee44ea,62,293,154,426
03d7f24a35ee44ea,351,629,139,530
03d7f24a35ee44ea,651,912,255,554
03de97cd4c0c2dbc,16,93,150,238
03de97cd4c0c2dbc,212,237,356,387
03de97cd4c0c2dbc,247,307,301,365
03de97cd4c0c2dbc,440,544,61,181
03de97cd4c0c2dbc,597,648,184,257
03fbe696bd10043e,501,709,187,487
03fe1cda88f76e1b,307,472,30,202
0437b4a28d0d800b,495,542,138,195
0437b4a28d0d800b,815,836,8,34
0437b4a28d0d800b,832,847,23,47
0447d4448b632baa,292,491,157,480
0447d4448b632baa,653,888,202,467
047b07ab046b853a,215,487,0,356
047b07ab046b853a,666,896,28,382
04877a9b53288a4f,24,40,311,325
04877a9b53288a4f,93,162,282,351
04877a9b53288a4f,154,213,286,347
04877a9b53288a4f,215,270,258,326
04877a9b53288a4f,298,336,283,333
04877a9b53288a4f,364,410,312,369
04877a9b53288a4f,463,510,318,386
04877a9b53288a4f,537,584,325,382
04877a9b53288a4f,634,682,289,349
04877a9b53288a4f,677,734,234,305
04877a9b53288a4f,757,814,304,372
04877a9b53288a4f,833,881,284,338
04877a9b53288a4f,933,985,264,338
0499af873e64f06d,284,744,14,398
049a3c6f883fa3d5,474,652,71,347
049aa80376df0f02,0,292,116,712
049aa80376df0f02,253,597,132,592
049f8dff14552fa9,10,662,253,883
04a29e5502cf9e1f,38,100,311,395
04a29e5502cf9e1f,626,714,219,319
04b5f10976b47b46,326,728,170,573
04bb072f2b1535bc,589,1022,0,606
04c21aaeb77d3b63,157,290,319,398
04cc4fdf9aad5217,0,302,352,680
04cc4fdf9aad5217,508,719,36,267
04df896d3633cdc5,0,362,146,569
04df896d3633cdc5,453,765,43,551
05078671eabb71e5,225,283,223,315
05078671eabb71e5,381,469,201,292
05078671eabb71e5,446,511,340,435
05078671eabb71e5,478,543,164,258
05078671eabb71e5,489,580,464,575
05078671eabb71e5,541,607,199,288
05078671eabb71e5,611,655,242,327
05078671eabb71e5,663,736,155,236
05078671eabb71e5,664,723,281,378
052d844849f92cbb,0,116,4,250
052d844849f92cbb,109,452,225,523
052d844849f92cbb,372,493,47,240
053c0837aec2eed9,742,797,139,214
05521f8cbf846393,82,425,81,395
05521f8cbf846393,634,742,148,303
0566dff5eac10537,0,44,315,477
0566dff5eac10537,268,368,265,316
0566dff5eac10537,652,767,205,391
0574054347cdfa99,360,460,101,220
0574054347cdfa99,559,660,121,252
0580efa3119a044b,106,315,271,550
0580efa3119a044b,349,523,366,554
0580efa3119a044b,617,842,104,441
058506f9d6465c58,364,423,254,341
058506f9d6465c58,422,452,283,332
058506f9d6465c58,653,671,343,409
058506f9d6465c58,794,850,301,406
0596a69ff928037c,423,608,52,187
059f7ba27dbc62f1,245,405,144,334
059f7ba27dbc62f1,636,776,201,389
05b9c0f137e6173d,464,623,90,292
06014c78cab18417,171,240,498,587
06014c78cab18417,503,571,518,614
06281dad2b015d05,87,148,345,420
06281dad2b015d05,89,134,339,395
06281dad2b015d05,185,324,222,438
06281dad2b015d05,405,565,129,358
06504dd409b1edc6,395,655,137,450
0656bcefcc6843fa,122,699,134,711
066270658e88aa98,318,503,195,356
068ad7ec11974672,159,264,371,441
068ad7ec11974672,518,616,126,206
069ce4ea2b20d979,288,346,202,280
069ce4ea2b20d979,705,753,171,244
06a3b72f9fc3e6d4,331,577,137,476
06d916b9a20fd91f,234,439,143,412
