filename,c_min,c_max,r_min,r_max
05078671eabb71e5.jpg,655,741,155,241
05078671eabb71e5.jpg,157,484,313,640
05078671eabb71e5.jpg,453,596,284,427
053c0837aec2eed9.jpg,743,808,141,206
05521f8cbf846393.jpg,775,823,187,235
05521f8cbf846393.jpg,616,786,296,466
05521f8cbf846393.jpg,608,763,152,307
0574054347cdfa99.jpg,927,986,212,271
0574054347cdfa99.jpg,350,479,89,218
0574054347cdfa99.jpg,534,666,123,255
0580efa3119a044b.jpg,583,865,131,413
0580efa3119a044b.jpg,343,527,370,554
0580efa3119a044b.jpg,136,343,314,521
058506f9d6465c58.jpg,364,417,624,677
058506f9d6465c58.jpg,367,422,583,638
058506f9d6465c58.jpg,516,585,551,620
058506f9d6465c58.jpg,499,570,576,647
058506f9d6465c58.jpg,369,460,252,343
059f7ba27dbc62f1.jpg,126,178,360,412
06014c78cab18417.jpg,255,310,454,509
06014c78cab18417.jpg,489,572,521,604
06014c78cab18417.jpg,166,249,498,581
06281dad2b015d05.jpg,87,142,347,402
06281dad2b015d05.jpg,375,575,141,341
06281dad2b015d05.jpg,174,361,220,407
06504dd409b1edc6.jpg,371,676,128,433
0656bcefcc6843fa.jpg,666,788,398,520
066270658e88aa98.jpg,376,424,463,511
069ce4ea2b20d979.jpg,287,344,280,337
06a3b72f9fc3e6d4.jpg,285,590,152,457
06d916b9a20fd91f.jpg,126,468,98,440
06d916b9a20fd91f.jpg,258,519,147,408
